,id,purpose_normalized,ClassPurpose
6,173460,cobrir cheque especial,investment
10,173455,pagar dívidas,debt
12,173450,pagamento de cartão de crédiito,debt
17,173442,comprar um sitio de 20 tarefas,debt
21,173437,pagar dividas,debt
23,173434,para comprar outro carro,investment
24,173433,quitar dividas,debt
27,173430,reforma casa,investment
28,173429,nada a declarar,debt
30,173425,pagar o veiculo,debt
31,173424,investir no meu negocio,investment
34,173421,para investimento,investment
38,173415,quitar dividas,debt
39,173413,investimento,investment
40,173412,para investimentos em consultório,investment
42,173410,debts_payment,debt
45,173405,despesas gerais,debt
46,173404,pagar algumas outras dívidas,debt
47,173402,envestimento,investment
54,173393,para comprar outro carro,investment
55,173391,reforma em moradia,debt
57,173386,fazer investimento no escritorio,investment
58,173385,investimento,investment
59,173384,quitar dividas com juros mais altos,debt
60,173382,pagamentos diversos,investment
62,173380,para investir em um novo negócio food truck,investment
63,173379,para quitar meu veiculo,debt
66,173375,nada a declarar,debt
67,173374,renegociação,debt
71,173368,investimento,investment
75,173362,outros recursos,investment
78,173355,qiuitar algumas contas,debt
79,173354,reforma,debt
80,173353,investimento,investment
83,173350,adapitação para cadeirante no propio veiculo,debt
84,173349,saldar todas as dívidase ficar somente com empréstimo,investment
86,173347,fluxo de caixa,debt
89,173342,reforma,debt
96,173330,pagar dividas,debt
97,173329,pagar dívidas,debt
101,173324,pra compra comida,investment
103,173321,pagar dividas,debt
104,173319,capital de giro,investment
109,173314,fazer capital de giro,investment
115,173307,saude,debt
116,173304,para pagar dívidas,debt
117,173303,pagar as dívidas do carro e pagar o cartão de crédito pois os juros do parcelamento do cartão é muito elevado,debt
118,173301,iniciar comércio,investment
119,173300,quitar empréstimo mais caro,investment
120,173299,para em vestimento,investment
121,173298,investimento,investment
125,173290,quitar contas em geral,debt
127,173287,acerto de contas,investment
129,173283,paga dividas,debt
133,173279,pagamentos de contas e diverços,debt
135,173277,limpar meu nome no spc,debt
136,173276,cobrir cheque especial,investment
138,173273,investimento em negócio,investment
143,173263,others,investment
144,173262,vários gastos,debt
146,173258,nada a declarar,debt
147,173257,cartao de credito,debt
149,173255,pagar dividas e ficar só com uma no caso o emprestimo,debt
150,173254,gastos variados,debt
152,173252,investimento,investment
154,173250,nada a declarar,debt
156,173247,quitar compromissos e outros,debt
157,173246,reformar e vender o veículo,investment
158,173244,antecipação de dividas,investment
160,173242,nada a declarar,debt
169,173230,dar entrada na carta de credito,debt
170,173228,dividas,debt
175,173221,nada a declarar,debt
176,173220,pequena reforma residência,debt
179,173217,reforma apartamento,investment
182,173214,construção,investment
185,173211,para complementar a compra de um carro,investment
187,173209,estancar juros cartao de credito,debt
190,173206,comprando,investment
195,173201,negociar dividas,debt
200,173194,quitar dívidas,debt
201,173193,para pagar contas,debt
205,173186,quitação de imovel,debt
206,173185,pagar dívidas,debt
208,173183,complementar o valor a ser pago,debt
210,173181,trocar de carro,debt
214,173176,pagar dividas,debt
217,173173,para pagar as dividas,debt
218,173171,para investimento food truck,investment
219,173169,pagamento de dívidas,debt
221,173166,quitar dividas,debt
222,173165,pagar dividas,debt
224,173163,quitar cheque especial e emprestimo bancario,investment
225,173162,compra um carro,debt
227,173159,investimento,investment
228,173157,comprar um carro para trabalhar,debt
230,173155,investment_in_own_business,investment
233,173151,viagem de urgencia,debt
234,173150,casamento,debt
235,173149,renegociar dívidas,debt
236,173148,levantar dinheiro pra outro negocio,debt
239,173143,acertar dividas com cartão de crédito juros muito alto,debt
240,173142,nada a declarar,debt
242,173140,quitar empréstimo bancário,investment
245,173137,investimento em minha empresa e pagamento de dívidas,investment
255,173122,para fins de saúde,investment
260,173076,pagamento de dividas,debt
261,173075,quitar divida,debt
264,173071,comprar o primeiro carro,investment
266,173068,terminar a minha lanchonete,debt
267,173067,pagamento dívidas,debt
269,173064,para reforma da minha casa,investment
270,173063,investimento em negocio de salgados,investment
